2022-04-23 20:03:38.893 [RMI TCP Connection(9)-192.168.179.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-23 20:03:38.893 [RMI TCP Connection(9)-192.168.179.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-04-23 20:03:38.902 [RMI TCP Connection(9)-192.168.179.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 8 ms
2022-04-23 20:03:44.915 [parallel-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2022-04-23 20:03:44.917 [parallel-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2022-04-23 20:04:43.308 [http-nio-8991-exec-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://alndadudu.mysql.rds.aliyuncs.com:3306/weakee_xcx_test?characterEncoding=UTF-8&useSSL=false&useUnicode=true&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 63817
2022-04-23 20:04:43.827 [http-nio-8991-exec-1] WARN  o.s.security.crypto.bcrypt.BCryptPasswordEncoder - Encoded password does not look like BCrypt
2022-04-23 20:06:38.080 [http-nio-8991-exec-5] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://alndadudu.mysql.rds.aliyuncs.com:3306/weakee_xcx_test?characterEncoding=UTF-8&useSSL=false&useUnicode=true&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 113972
2022-04-23 20:08:43.064 [http-nio-8991-exec-9] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://alndadudu.mysql.rds.aliyuncs.com:3306/weakee_xcx_test?characterEncoding=UTF-8&useSSL=false&useUnicode=true&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 124347
2022-04-23 20:10:12.207 [Thread-24] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2022-04-23 20:10:13.329 [Thread-24] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-04-23 20:10:13.331 [Thread-24] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
